id,text,category
1,"I am loving the new AI tools! They are running amazingly well.",technology
2,"The cats are sitting on the mats, waiting for their owners.",animals
3,"Running quickly, the athletes broke several world records.",sports
4,"Machine learning models need clean and well-processed data.",technology
5,"She was singing beautifully while the children danced joyfully.",arts
6,"The companies are merging their databases for better results.",business
7,"Scientists are studying the effects of climate change on biodiversity.",science
8,"The students were working harder than ever to pass their exams.",education
9,"New restaurants are opening in the city, offering amazing food choices.",food
10,"The software developers built an incredible application using Python.",technology
11,"Dogs are running and playing in the park with their owners daily.",animals
12,"The researchers published their findings in a famous scientific journal.",science
13,"She is better at coding now after practicing consistently every day.",technology
14,"The teams competed fiercely and played brilliantly in the final match.",sports
15,"Children are learning faster with interactive and engaging digital tools.",education
